cnt, cg_residual
0,1
1,1.73254
2,1.91951
3,2.2084
4,2.54507
5,2.66869
6,3.37752
7,3.39996
8,3.53708
9,3.65422
10,3.15862
11,3.81114
12,4.25464
13,4.50886
14,4.1873
15,4.36928
16,4.2762
17,4.13966
18,4.31109
19,4.21402
20,4.17658
21,3.81969
22,3.81462
23,3.89347
24,3.85625
25,3.68403
26,3.70796
27,3.4761
28,3.58603
29,3.33446
30,3.13689
31,3.12551
32,3.16404
33,3.05139
34,2.88718
35,2.81206
36,2.7556
37,2.81539
38,2.69939
39,2.5921
40,2.65039
41,2.58168
42,2.54293
43,2.45617
44,2.35344
45,2.35376
46,2.37045
47,2.38619
48,2.38691
49,2.33201
50,2.25374
51,2.22055
52,2.19071
53,2.13444
54,2.08681
55,2.06856
56,2.03188
57,2.12736
58,2.09
59,2.09484
60,2.0573
61,1.87634
62,2.01768
63,1.99797
64,1.99308
65,2.03156
66,1.94602
67,1.88483
68,1.86021
69,1.82867
70,1.83282
71,1.79762
72,1.57361
73,1.65366
74,1.52954
75,1.64001
76,1.68729
77,1.66841
78,1.31563
79,1.64096
80,1.60869
81,1.60341
82,1.63743
83,1.5998
84,1.53453
85,1.49267
86,1.14593
87,1.45416
88,1.43753
89,1.44456
90,1.38944
91,1.30963
92,1.37146
93,1.32888
94,1.2425
95,1.27797
96,1.22902
97,1.19119
98,1.19454
99,1.17385
100,1.17169
101,1.20699
102,1.15192
103,1.17039
104,1.11864
105,1.0991
106,1.07605
107,1.05574
108,0.916834
109,1.03439
110,1.01628
111,0.933074
112,0.997356
113,0.973653
114,0.972281
115,1.00165
116,0.948533
117,0.933505
118,0.901878
119,0.822824
120,0.877025
121,0.874319
122,0.866037
123,0.860638
124,0.837253
125,0.752983
126,0.768907
127,0.730656
128,0.74235
129,0.76662
130,0.805747
131,0.780979
132,0.7558
133,0.742141
134,0.732484
135,0.674944
136,0.715057
137,0.690528
138,0.657478
139,0.644073
140,0.639121
141,0.628731
142,0.625946
143,0.614288
144,0.591641
145,0.554868
146,0.616038
147,0.606632
148,0.606097
149,0.602241
150,0.58184
151,0.55796
152,0.496222
153,0.534351
154,0.524562
155,0.518293
156,0.504403
157,0.488067
158,0.480929
159,0.468874
160,0.434911
161,0.425127
162,0.466743
163,0.459293
164,0.46473
165,0.448157
166,0.432173
167,0.425472
168,0.403613
169,0.411375
170,0.398294
171,0.385823
172,0.380704
173,0.377149
174,0.376572
175,0.358407
176,0.323263
177,0.324524
178,0.346228
179,0.336325
180,0.341629
181,0.329089
182,0.299695
183,0.30279
184,0.312231
185,0.296835
186,0.308684
187,0.304593
188,0.295785
189,0.28921
190,0.282965
191,0.276058
192,0.247753
193,0.264306
194,0.248725
195,0.262126
196,0.261937
197,0.25698
198,0.250113
199,0.243633
200,0.231931
201,0.235507
202,0.235591
203,0.241683
204,0.229824
205,0.216183
206,0.203129
207,0.191927
208,0.179959
209,0.194459
210,0.180319
211,0.193131
212,0.196003
213,0.201157
214,0.192562
215,0.182269
216,0.183945
217,0.179166
218,0.179344
219,0.172811
220,0.169289
221,0.16751
222,0.164862
223,0.162318
224,0.157861
225,0.150484
226,0.154062
227,0.14292
228,0.145168
229,0.142914
230,0.141082
231,0.139427
232,0.135628
233,0.108731
234,0.127832
235,0.119772
236,0.124016
237,0.127719
238,0.125015
239,0.122011
240,0.118605
241,0.0911237
242,0.116208
243,0.114638
244,0.0974425
245,0.112515
246,0.110275
247,0.108701
248,0.106296
249,0.0871762
250,0.104728
251,0.106171
252,0.103275
253,0.098833
254,0.0959629
255,0.0917139
256,0.0891629
257,0.07998
258,0.0878662
259,0.0869552
260,0.0846827
261,0.0833027
262,0.0863837
263,0.0865135
264,0.0890012
265,0.0847309
266,0.0762581
267,0.0794358
268,0.0807415
269,0.0812144
270,0.075314
271,0.0713426
272,0.0701814
273,0.0701133
274,0.0572302
275,0.0692636
276,0.0685755
277,0.0609738
278,0.0661442
279,0.0653569
280,0.0639725
281,0.0618221
282,0.0568563
283,0.060884
284,0.0602132
285,0.0564426
286,0.0519111
287,0.0572905
288,0.0576214
289,0.056706
290,0.0535016
291,0.054839
292,0.0527019
293,0.0491477
294,0.0507585
295,0.0516467
296,0.0513555
297,0.0523739
298,0.050995
299,0.0446608
300,0.0473057
301,0.0463101
302,0.0468307
303,0.0458794
304,0.0448363
305,0.0441675
306,0.0429142
307,0.0375062
308,0.0421033
309,0.0413375
310,0.0363584
311,0.0403731
312,0.039072
313,0.0381388
314,0.0375244
315,0.0325419
316,0.0369111
317,0.0363512
318,0.0357343
319,0.0359465
320,0.0348298
321,0.0335485
322,0.0336689
323,0.0315656
324,0.0325332
325,0.0313231
326,0.0295775
327,0.028641
328,0.0297723
329,0.0293726
330,0.0297031
331,0.0294211
332,0.0266569
333,0.0282338
334,0.0284097
335,0.0279672
336,0.0266483
337,0.0257011
338,0.0252292
339,0.024943
340,0.0238521
341,0.023258
342,0.0218918
343,0.0216852
344,0.0225403
345,0.0229255
346,0.0211408
347,0.0220117
348,0.0221542
349,0.0222364
350,0.0227291
351,0.0229379
352,0.0221715
353,0.0212345
354,0.0203239
355,0.0197613
356,0.0153139
357,0.0194337
358,0.0188617
359,0.0161212
360,0.0181965
361,0.0174522
362,0.0163111
363,0.0164947
364,0.0161854
365,0.0168287
366,0.0169398
367,0.0169351
368,0.0168812
369,0.0168245
370,0.0166666
371,0.0161971
372,0.0142183
373,0.0159006
374,0.0153549
375,0.013137
376,0.0148269
377,0.0146228
378,0.0144882
379,0.0147526
380,0.0142753
381,0.014403
382,0.0139806
383,0.0137134
384,0.012922
385,0.0130916
386,0.0132445
387,0.0133304
388,0.0130267
389,0.0128048
390,0.0123911
391,0.0118803
392,0.0104971
393,0.0116651
394,0.0115356
395,0.0115344
396,0.0116105
397,0.0109132
398,0.0105139
399,0.00987926
400,0.01091
401,0.010574
402,0.0101215
403,0.00998671
404,0.0100175
405,0.00900518
406,0.00977515
407,0.00942211
408,0.00833234
409,0.00945268
410,0.00933494
411,0.00890062
412,0.00860976
413,0.00809049
414,0.00842225
415,0.00834127
416,0.00822497
417,0.00799383
418,0.00792588
419,0.00806323
420,0.00798945
421,0.00755237
422,0.00762057
423,0.0075991
424,0.0068551
425,0.00740427
426,0.0072809
427,0.00688338
428,0.00702787
429,0.00704599
430,0.00671592
431,0.00690183
432,0.0067851
433,0.00675948
434,0.00662856
435,0.00647301
436,0.00634639
437,0.00620743
438,0.00588818
439,0.00607251
440,0.00529971
441,0.00612051
442,0.0063516
443,0.00597422
444,0.00582423
445,0.00584179
446,0.00599307
447,0.00529663
448,0.00593875
449,0.00531751
450,0.00506976
451,0.00541257
452,0.0052516
453,0.00528668
454,0.00538604
455,0.00448034
456,0.0047311
457,0.00521557
458,0.00510169
459,0.0050088
460,0.00493912
461,0.00482512
462,0.00474889
463,0.00465026
464,0.00407259
465,0.00451628
466,0.00478165
467,0.00488047
468,0.0047422
469,0.00463925
470,0.00466863
471,0.00446555
472,0.00412559
473,0.00385797
474,0.00442323
475,0.00448541
476,0.00422021
477,0.00402901
478,0.0039871
479,0.00400906
480,0.00393273
481,0.0037687
482,0.00394912
483,0.00389077
484,0.00378602
485,0.00374688
486,0.0036969
487,0.00359743
488,0.0032508
489,0.00349901
490,0.0032383
491,0.00338805
492,0.00333712
493,0.00333343
494,0.00335453
495,0.00332396
496,0.00328066
497,0.00325305
498,0.00294302
499,0.00323091
500,0.00324441
501,0.0031512
502,0.00300563
503,0.0028812
504,0.00276631
505,0.00291319
506,0.00290054
507,0.00289876
508,0.0028838
509,0.00281052
510,0.00279949
511,0.00283204
512,0.00280687
513,0.00271677
514,0.00266909
515,0.0026383
516,0.00267911
517,0.00265199
518,0.00257466
519,0.00258482
520,0.00268354
521,0.00236514
522,0.00261998
523,0.0025082
524,0.00255199
525,0.00254851
526,0.00251621
527,0.00243485
528,0.00229423
529,0.00231538
530,0.00236495
531,0.00218032
532,0.0023569
533,0.00236653
534,0.00235707
535,0.00230536
536,0.00220175
537,0.00210986
538,0.00220763
539,0.00218182
540,0.00216726
541,0.00205137
542,0.00215318
543,0.00210775
544,0.0021074
545,0.00201088
546,0.00203128
547,0.00206649
548,0.00207149
549,0.00197352
550,0.00203639
551,0.00200597
552,0.00192138
553,0.00177199
554,0.00190126
555,0.00195296
556,0.00197907
557,0.00185903
558,0.00154528
559,0.00177385
560,0.00174557
561,0.00183561
562,0.00184544
563,0.00182204
564,0.00183874
565,0.00181242
566,0.001755
567,0.00164576
568,0.00174972
569,0.00165112
570,0.00168967
571,0.00177005
572,0.00172326
573,0.00167152
574,0.00165265
575,0.0016038
576,0.00163923
577,0.00164249
578,0.00163136
579,0.00160259
580,0.00159738
